##|##
Frequency0|Frequency1
0.00000646|0.00000941
0.00000646|0.00001882
0.00000646|0.00000941
0.00001292|0.00000941
0.00004523|0.00005645
0.00001938|0.00000000
0.00000646|0.00000000
0.00001938|0.00000000
0.00000646|0.00000941
0.00001938|0.00000000
0.00004523|0.00003763
0.00001292|0.00000000
0.00000646|0.00000941
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00000000
0.00001292|0.00001882
0.00001292|0.00000000
0.00000646|0.00000000
0.00000646|0.00000941
0.00001292|0.00000000
0.00004523|0.00000000
0.00001292|0.00000000
0.00001292|0.00000000
0.00001292|0.00000000
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00005645
0.00000646|0.00000000
0.00001938|0.00002822
0.00000646|0.00000941
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00000000
0.00001938|0.00001882
0.00000646|0.00002822
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00003763
0.00005815|0.00007527
0.00000646|0.00000000
0.00001938|0.00000000
0.00000646|0.00000000
0.00001292|0.00000941
0.00001292|0.00000941
0.00001292|0.00000000
0.00001292|0.00002822
0.00000646|0.00000000
0.00001292|0.00000000
0.00000646|0.00000000
0.00000646|0.00001882
0.00001938|0.00000000
0.00000646|0.00000000
0.00000646|0.00002822
0.00000646|0.00003763
0.00000646|0.00001882
0.00001938|0.00009408
0.00001292|0.00000000
0.00000646|0.00000941
0.00000646|0.00000941
0.00003231|0.00000941
0.00000646|0.00004704
0.00001938|0.00015994
0.00000646|0.00000000
0.00001292|0.00000000
0.00000646|0.00000941
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00000941
0.00000646|0.00001882
0.00003877|0.00001882
0.00000646|0.00000000
0.00000646|0.00000000
0.00001292|0.00005645
0.00001292|0.00000941
0.00000646|0.00000000
0.00000646|0.00001882
0.00000646|0.00000000
0.00001292|0.00010349
0.00001292|0.00000941
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00000941
0.00000646|0.00000941
0.00000646|0.00003763
0.00000646|0.00003763
0.00001292|0.00000941
0.00000646|0.00007527
0.00000646|0.00000000
0.00000646|0.00000941
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00000000
0.00000646|0.00005645
0.00002585|0.00010349
0.00000646|0.00005645
0.00000646|0.00005645
0.00000646|0.00003763
0.00003877|0.00006586
0.00000646|0.00002822
0.00000646|0.00000000
0.00000646|0.00000000
0.00001292|0.00006586
0.00000646|0.00002822
0.00000646|0.00000000
0.00000646|0.00000941
0.00000646|0.00002822
0.00000646|0.00000941
0.00000646|0.00000000
0.00001292|0.00001882
0.00000646|0.00000000
0.00000646|0.00007527
0.00000646|0.00004704
0.00001292|0.00002822
0.00001292|0.00005645
0.00001292|0.00005645
0.00000646|0.00003763
0.00000646|0.00000000
0.00001292|0.00000941
0.00000646|0.00000000
0.00000646|0.00001882
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00004704
0.00000000|0.00000941
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00008467
0.00000000|0.00000941
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00007527
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00011290
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00002822
0.00000000|0.00000941
0.00000000|0.00002822
0.00000000|0.00006586
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000941
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00001882
0.00000000|0.00000000
0.00000000|0.00000000
0.00000000|0.00000000
